movement_id,company,strategy_type,sector_target,region,country,subregion,date,investment_usd_m,target_company,strategic_priority,details
str-20000,dragados,cost optimization,energy,australia,australia,western australia,2021-02-06,7983.45,unknown,efficiency,"dragados announced a cost optimization in western australia, australia, targeting industrial to drive sustainability."
str-20001,mccarthy,workforce development,residential,latin america,peru,peru,2021-06-19,7983.45,unknown,sustainability,"mccarthy announced a workforce development in peru, peru, targeting energy to enhance capabilities."
str-20002,balfour beatty,sustainability initiative,healthcare,north america,canada,quebec,2024-11-24,7983.45,unknown,growth,"balfour beatty announced a sustainability initiative in quebec, canada, targeting transportation to capture market share."
str-20003,acciona,cost optimization,energy,middle east,saudi arabia,saudi arabia,2023-08-10,7983.45,unknown,growth,"acciona announced a cost optimization in saudi arabia, saudi arabia, targeting utilities to improve resilience."
str-20004,samsung c&t,acquisition,education,middle east,kuwait,kuwait,2021-04-11,3534.2,snc-lavalin,sustainability,"samsung c&t announced a acquisition in kuwait, kuwait, targeting residential to improve resilience."
str-20005,bam group,cost optimization,energy,europe,uk,wales,2021-09-28,7983.45,unknown,growth,"bam group announced a cost optimization in wales, uk, targeting residential to leverage digital tools."
str-20006,ferrovial,market expansion,utilities,north america,usa,illinois,2023-01-21,11612.4,unknown,growth,"ferrovial announced a market expansion in illinois, usa, targeting infrastructure to drive sustainability."
str-20007,larsen & toubro,sustainability initiative,utilities,latin america,peru,peru,2022-09-13,7983.45,unknown,efficiency,"larsen & toubro announced a sustainability initiative in peru, peru, targeting infrastructure to leverage digital tools."
str-20008,gilbane,acquisition,energy,australia,australia,victoria,2022-01-27,7720.15,samsung c&t,market leadership,"gilbane announced a acquisition in victoria, australia, targeting commercial to leverage digital tools."
str-20009,obayashi corporation,technology adoption,education,middle east,oman,oman,2021-05-07,9435.32,unknown,efficiency,"obayashi corporation announced a technology adoption in oman, oman, targeting commercial to expand globally."
str-20010,skanska,partnership,transportation,africa,egypt,egypt,2023-01-05,7983.45,unknown,market leadership,"skanska announced a partnership in egypt, egypt, targeting utilities to expand globally."
str-20011,mortenson construction,acquisition,energy,middle east,saudi arabia,saudi arabia,2023-02-23,13570.88,john holland,growth,"mortenson construction announced a acquisition in saudi arabia, saudi arabia, targeting energy to improve resilience."
str-20012,pcl construction,digital transformation,healthcare,asia-pacific,china,guangdong,2024-06-12,7983.45,unknown,innovation,"pcl construction announced a digital transformation in guangdong, china, targeting residential to capture market share."
str-20013,pcl construction,merger,utilities,australia,australia,western australia,2022-07-17,11673.5,john holland,innovation,"pcl construction announced a merger in western australia, australia, targeting commercial to expand globally."
str-20014,mccarthy,technology adoption,infrastructure,middle east,oman,oman,2025-04-23,9863.36,unknown,growth,"mccarthy announced a technology adoption in oman, oman, targeting healthcare to improve resilience."
str-20015,fluor,risk management,residential,europe,sweden,sweden,2022-04-10,7983.45,unknown,growth,"fluor announced a risk management in sweden, sweden, targeting transportation to capture market share."
str-20016,turner construction,market expansion,education,europe,sweden,sweden,2022-08-30,9195.63,unknown,growth,"turner construction announced a market expansion in sweden, sweden, targeting healthcare to capture market share."
str-20017,china state construction,merger,infrastructure,north america,canada,alberta,2022-06-05,961.11,cpb contractors,efficiency,"china state construction announced a merger in alberta, canada, targeting commercial to leverage digital tools."
str-20018,leighton asia,cost optimization,infrastructure,africa,egypt,egypt,2022-04-05,7983.45,unknown,innovation,"leighton asia announced a cost optimization in egypt, egypt, targeting utilities to improve resilience."
str-20019,snc-lavalin,acquisition,residential,australia,australia,victoria,2022-05-05,4358.53,bechtel,innovation,"snc-lavalin announced a acquisition in victoria, australia, targeting residential to enhance capabilities."
str-20020,gilbane,risk management,utilities,australia,australia,western australia,2022-10-03,7983.45,unknown,innovation,"gilbane announced a risk management in western australia, australia, targeting healthcare to drive sustainability."
str-20021,mace group,acquisition,education,asia-pacific,china,jiangsu,2023-10-11,2811.25,whiting-turner,efficiency,"mace group announced a acquisition in jiangsu, china, targeting utilities to leverage digital tools."
str-20022,fluor,workforce development,utilities,north america,usa,washington,2022-02-24,7983.45,unknown,growth,"fluor announced a workforce development in washington, usa, targeting commercial to improve resilience."
str-20023,leighton asia,merger,commercial,australia,australia,queensland,2023-07-27,5428.05,mortenson construction,innovation,"leighton asia announced a merger in queensland, australia, targeting industrial to drive sustainability."
str-20024,snc-lavalin,workforce development,healthcare,europe,sweden,sweden,2024-06-08,7983.45,unknown,growth,"snc-lavalin announced a workforce development in sweden, sweden, targeting education to enhance capabilities."
str-20025,balfour beatty,technology adoption,infrastructure,europe,sweden,sweden,2023-05-22,14645.08,unknown,efficiency,"balfour beatty announced a technology adoption in sweden, sweden, targeting transportation to leverage digital tools."
str-20026,hochtief,cost optimization,healthcare,australia,australia,victoria,2023-10-24,7983.45,unknown,innovation,"hochtief announced a cost optimization in victoria, australia, targeting education to enhance capabilities."
str-20027,mortenson construction,sustainability initiative,education,australia,australia,victoria,2025-01-17,7983.45,unknown,innovation,"mortenson construction announced a sustainability initiative in victoria, australia, targeting healthcare to drive sustainability."
str-20028,mccarthy,partnership,infrastructure,north america,usa,new york,2023-11-07,7983.45,unknown,sustainability,"mccarthy announced a partnership in new york, usa, targeting education to expand globally."
str-20029,vinci,partnership,transportation,europe,poland,poland,2023-02-04,7983.45,unknown,growth,"vinci announced a partnership in poland, poland, targeting education to enhance capabilities."
str-20030,bam group,market expansion,residential,north america,mexico,mexico,2021-06-30,8119.74,unknown,market leadership,"bam group announced a market expansion in mexico, mexico, targeting transportation to capture market share."
str-20031,cpb contractors,sustainability initiative,education,asia-pacific,malaysia,malaysia,2023-03-15,7983.45,unknown,market leadership,"cpb contractors announced a sustainability initiative in malaysia, malaysia, targeting energy to drive sustainability."
str-20032,turner construction,digital transformation,utilities,north america,usa,washington,2020-12-31,7983.45,unknown,sustainability,"turner construction announced a digital transformation in washington, usa, targeting commercial to drive sustainability."
str-20033,ferrovial,sustainability initiative,infrastructure,asia-pacific,india,karnataka,2022-09-16,7983.45,unknown,efficiency,"ferrovial announced a sustainability initiative in karnataka, india, targeting healthcare to leverage digital tools."
str-20034,china state construction,risk management,utilities,asia-pacific,malaysia,malaysia,2024-07-01,7983.45,unknown,growth,"china state construction announced a risk management in malaysia, malaysia, targeting transportation to capture market share."
str-20035,dragados,market expansion,utilities,asia-pacific,india,maharashtra,2025-05-11,13685.4,unknown,market leadership,"dragados announced a market expansion in maharashtra, india, targeting transportation to drive sustainability."
str-20036,skanska,digital transformation,education,australia,australia,new south wales,2022-12-27,7983.45,unknown,sustainability,"skanska announced a digital transformation in new south wales, australia, targeting utilities to expand globally."
str-20037,china state construction,partnership,transportation,australia,australia,new south wales,2024-03-14,7983.45,unknown,growth,"china state construction announced a partnership in new south wales, australia, targeting industrial to expand globally."
str-20038,strabag,risk management,commercial,asia-pacific,japan,japan,2021-12-07,7983.45,unknown,efficiency,"strabag announced a risk management in japan, japan, targeting healthcare to capture market share."
str-20039,turner construction,merger,transportation,asia-pacific,japan,japan,2024-07-09,1110.06,balfour beatty,innovation,"turner construction announced a merger in japan, japan, targeting commercial to enhance capabilities."
str-20040,bechtel,market expansion,commercial,latin america,argentina,argentina,2023-06-14,2488.94,unknown,efficiency,"bechtel announced a market expansion in argentina, argentina, targeting transportation to enhance capabilities."
str-20041,thiess,cost optimization,utilities,middle east,qatar,qatar,2020-06-19,7983.45,unknown,innovation,"thiess announced a cost optimization in qatar, qatar, targeting industrial to improve resilience."
str-20042,mortenson construction,partnership,education,australia,australia,western australia,2021-03-06,7983.45,unknown,innovation,"mortenson construction announced a partnership in western australia, australia, targeting utilities to drive sustainability."
str-20043,hochtief,workforce development,infrastructure,north america,canada,alberta,2022-04-09,7983.45,unknown,sustainability,"hochtief announced a workforce development in alberta, canada, targeting healthcare to enhance capabilities."
str-20044,cpb contractors,market expansion,commercial,africa,egypt,egypt,2021-03-01,14423.5,unknown,market leadership,"cpb contractors announced a market expansion in egypt, egypt, targeting transportation to improve resilience."
str-20045,samsung c&t,merger,commercial,middle east,uae,uae,2022-03-07,1099.91,gilbane,market leadership,"samsung c&t announced a merger in uae, uae, targeting energy to improve resilience."
str-20046,shimizu corporation,merger,energy,asia-pacific,japan,japan,2020-10-10,2189.66,cpb contractors,efficiency,"shimizu corporation announced a merger in japan, japan, targeting education to leverage digital tools."
str-20047,whiting-turner,sustainability initiative,infrastructure,africa,egypt,egypt,2021-02-28,7983.45,unknown,sustainability,"whiting-turner announced a sustainability initiative in egypt, egypt, targeting residential to leverage digital tools."
str-20048,lendlease,cost optimization,utilities,europe,netherlands,netherlands,2024-06-30,7983.45,unknown,innovation,"lendlease announced a cost optimization in netherlands, netherlands, targeting commercial to improve resilience."
str-20049,balfour beatty,workforce development,residential,europe,spain,spain,2022-07-06,7983.45,unknown,market leadership,"balfour beatty announced a workforce development in spain, spain, targeting healthcare to enhance capabilities."
str-20050,ferrovial,risk management,education,north america,canada,british columbia,2024-02-06,7983.45,unknown,growth,"ferrovial announced a risk management in british columbia, canada, targeting utilities to drive sustainability."
str-20051,larsen & toubro,sustainability initiative,transportation,north america,usa,texas,2025-01-24,7983.45,unknown,efficiency,"larsen & toubro announced a sustainability initiative in texas, usa, targeting transportation to improve resilience."
str-20052,ferrovial,acquisition,energy,asia-pacific,australia,western australia,2021-11-08,12238.59,salini impregilo,sustainability,"ferrovial announced a acquisition in western australia, australia, targeting industrial to improve resilience."
str-20053,snc-lavalin,market expansion,residential,middle east,kuwait,kuwait,2023-12-06,8856.38,unknown,sustainability,"snc-lavalin announced a market expansion in kuwait, kuwait, targeting utilities to enhance capabilities."
str-20054,samsung c&t,risk management,healthcare,latin america,peru,peru,2021-09-19,7983.45,unknown,market leadership,"samsung c&t announced a risk management in peru, peru, targeting healthcare to expand globally."
str-20055,saipem,digital transformation,commercial,asia-pacific,japan,japan,2022-01-24,7983.45,unknown,market leadership,"saipem announced a digital transformation in japan, japan, targeting residential to drive sustainability."
str-20056,mace group,market expansion,utilities,middle east,uae,uae,2022-08-31,5641.58,unknown,efficiency,"mace group announced a market expansion in uae, uae, targeting education to capture market share."
str-20057,snc-lavalin,cost optimization,healthcare,north america,mexico,mexico,2024-06-23,7983.45,unknown,market leadership,"snc-lavalin announced a cost optimization in mexico, mexico, targeting utilities to drive sustainability."
str-20058,bechtel,cost optimization,industrial,middle east,uae,uae,2022-08-03,7983.45,unknown,innovation,"bechtel announced a cost optimization in uae, uae, targeting utilities to capture market share."
str-20059,thiess,cost optimization,energy,europe,sweden,sweden,2021-04-16,7983.45,unknown,innovation,"thiess announced a cost optimization in sweden, sweden, targeting utilities to expand globally."
str-20060,clark construction,workforce development,education,australia,australia,new south wales,2021-09-04,7983.45,unknown,sustainability,"clark construction announced a workforce development in new south wales, australia, targeting utilities to capture market share."
str-20061,bam group,technology adoption,transportation,middle east,saudi arabia,saudi arabia,2023-02-25,4801.96,unknown,market leadership,"bam group announced a technology adoption in saudi arabia, saudi arabia, targeting infrastructure to enhance capabilities."
str-20062,skanska,risk management,transportation,asia-pacific,australia,new south wales,2024-03-02,7983.45,unknown,innovation,"skanska announced a risk management in new south wales, australia, targeting healthcare to improve resilience."
str-20063,mccarthy,acquisition,education,africa,nigeria,nigeria,2024-04-24,3143.51,hochtief,innovation,"mccarthy announced a acquisition in nigeria, nigeria, targeting industrial to expand globally."
str-20064,aecom,cost optimization,industrial,latin america,chile,chile,2023-10-30,7983.45,unknown,efficiency,"aecom announced a cost optimization in chile, chile, targeting infrastructure to improve resilience."
str-20065,leighton asia,cost optimization,education,middle east,oman,oman,2022-02-10,7983.45,unknown,market leadership,"leighton asia announced a cost optimization in oman, oman, targeting residential to improve resilience."
str-20066,saipem,digital transformation,healthcare,europe,netherlands,netherlands,2021-07-29,7983.45,unknown,market leadership,"saipem announced a digital transformation in netherlands, netherlands, targeting healthcare to enhance capabilities."
str-20067,strabag,cost optimization,infrastructure,africa,egypt,egypt,2020-11-26,7983.45,unknown,sustainability,"strabag announced a cost optimization in egypt, egypt, targeting healthcare to improve resilience."
str-20068,whiting-turner,risk management,education,north america,mexico,mexico,2024-12-16,7983.45,unknown,efficiency,"whiting-turner announced a risk management in mexico, mexico, targeting education to enhance capabilities."
str-20069,bam group,risk management,energy,middle east,kuwait,kuwait,2020-06-14,7983.45,unknown,sustainability,"bam group announced a risk management in kuwait, kuwait, targeting utilities to capture market share."
str-20070,salini impregilo,sustainability initiative,industrial,africa,algeria,algeria,2021-12-08,7983.45,unknown,market leadership,"salini impregilo announced a sustainability initiative in algeria, algeria, targeting commercial to enhance capabilities."
str-20071,cpb contractors,workforce development,utilities,north america,mexico,mexico,2021-07-23,7983.45,unknown,sustainability,"cpb contractors announced a workforce development in mexico, mexico, targeting transportation to improve resilience."
str-20072,kajima corporation,merger,infrastructure,africa,nigeria,nigeria,2024-07-24,9766.14,fluor,growth,"kajima corporation announced a merger in nigeria, nigeria, targeting energy to drive sustainability."
str-20073,hochtief,market expansion,residential,asia-pacific,china,jiangsu,2024-06-27,3621.6,unknown,sustainability,"hochtief announced a market expansion in jiangsu, china, targeting education to enhance capabilities."
str-20074,bam group,market expansion,energy,europe,germany,germany,2023-01-29,13656.74,unknown,innovation,"bam group announced a market expansion in germany, germany, targeting infrastructure to leverage digital tools."
str-20075,aecom,acquisition,utilities,asia-pacific,china,beijing,2024-11-22,4516.84,mace group,innovation,"aecom announced a acquisition in beijing, china, targeting transportation to capture market share."
str-20076,dragados,merger,education,australia,australia,new south wales,2021-07-01,7825.15,lendlease,efficiency,"dragados announced a merger in new south wales, australia, targeting industrial to leverage digital tools."
str-20077,ferrovial,merger,energy,latin america,colombia,colombia,2020-11-03,9519.5,cpb contractors,innovation,"ferrovial announced a merger in colombia, colombia, targeting education to leverage digital tools."
str-20078,cpb contractors,risk management,healthcare,latin america,brazil,rio de janeiro,2025-05-29,7983.45,unknown,efficiency,"cpb contractors announced a risk management in rio de janeiro, brazil, targeting residential to drive sustainability."
str-20079,samsung c&t,acquisition,education,latin america,colombia,colombia,2025-03-30,13298.12,strabag,market leadership,"samsung c&t announced a acquisition in colombia, colombia, targeting commercial to expand globally."
str-20080,kiewit,cost optimization,utilities,africa,morocco,morocco,2021-08-05,7983.45,unknown,sustainability,"kiewit announced a cost optimization in morocco, morocco, targeting infrastructure to capture market share."
str-20081,clark construction,digital transformation,residential,europe,poland,poland,2023-03-11,7983.45,unknown,efficiency,"clark construction announced a digital transformation in poland, poland, targeting transportation to enhance capabilities."
str-20082,clark construction,cost optimization,education,north america,mexico,mexico,2022-05-07,7983.45,unknown,efficiency,"clark construction announced a cost optimization in mexico, mexico, targeting infrastructure to leverage digital tools."
str-20083,jacobs,technology adoption,education,australia,australia,victoria,2024-12-19,3687.89,unknown,efficiency,"jacobs announced a technology adoption in victoria, australia, targeting commercial to expand globally."
str-20084,gilbane,digital transformation,education,europe,italy,italy,2021-04-16,7983.45,unknown,sustainability,"gilbane announced a digital transformation in italy, italy, targeting industrial to drive sustainability."
str-20085,china state construction,market expansion,industrial,north america,mexico,mexico,2025-02-17,5704.84,unknown,efficiency,"china state construction announced a market expansion in mexico, mexico, targeting healthcare to improve resilience."
str-20086,strabag,technology adoption,energy,australia,australia,queensland,2023-06-19,10609.89,unknown,efficiency,"strabag announced a technology adoption in queensland, australia, targeting commercial to enhance capabilities."
str-20087,bouygues,risk management,healthcare,africa,egypt,egypt,2021-11-07,7983.45,unknown,efficiency,"bouygues announced a risk management in egypt, egypt, targeting industrial to improve resilience."
str-20088,leighton asia,acquisition,healthcare,middle east,saudi arabia,saudi arabia,2025-01-18,10277.59,kajima corporation,growth,"leighton asia announced a acquisition in saudi arabia, saudi arabia, targeting education to capture market share."
str-20089,aecom,sustainability initiative,infrastructure,australia,australia,victoria,2024-03-23,7983.45,unknown,innovation,"aecom announced a sustainability initiative in victoria, australia, targeting utilities to improve resilience."
str-20090,china state construction,acquisition,utilities,north america,mexico,mexico,2023-06-03,4786.86,kajima corporation,growth,"china state construction announced a acquisition in mexico, mexico, targeting utilities to enhance capabilities."
str-20091,whiting-turner,cost optimization,infrastructure,asia-pacific,indonesia,indonesia,2023-12-24,7983.45,unknown,market leadership,"whiting-turner announced a cost optimization in indonesia, indonesia, targeting infrastructure to capture market share."
str-20092,china state construction,technology adoption,healthcare,australia,australia,western australia,2024-04-09,9983.74,unknown,efficiency,"china state construction announced a technology adoption in western australia, australia, targeting healthcare to drive sustainability."
str-20093,china state construction,workforce development,healthcare,africa,kenya,kenya,2024-10-07,7983.45,unknown,innovation,"china state construction announced a workforce development in kenya, kenya, targeting infrastructure to enhance capabilities."
str-20094,thiess,sustainability initiative,infrastructure,asia-pacific,malaysia,malaysia,2022-07-26,7983.45,unknown,market leadership,"thiess announced a sustainability initiative in malaysia, malaysia, targeting commercial to capture market share."
str-20095,kajima corporation,technology adoption,residential,north america,mexico,mexico,2021-10-01,7601.1,unknown,efficiency,"kajima corporation announced a technology adoption in mexico, mexico, targeting infrastructure to drive sustainability."
str-20096,jacobs,partnership,residential,europe,poland,poland,2020-08-23,7983.45,unknown,sustainability,"jacobs announced a partnership in poland, poland, targeting residential to improve resilience."
str-20097,gilbane,market expansion,energy,middle east,qatar,qatar,2021-12-26,14692.74,unknown,sustainability,"gilbane announced a market expansion in qatar, qatar, targeting utilities to enhance capabilities."
str-20098,vinci,risk management,education,australia,australia,victoria,2025-05-13,7983.45,unknown,innovation,"vinci announced a risk management in victoria, australia, targeting utilities to drive sustainability."
str-20099,strabag,acquisition,education,latin america,peru,peru,2021-12-16,7983.45,thiess,market leadership,"strabag announced a acquisition in peru, peru, targeting education to expand globally."
str-20100,leighton asia,workforce development,utilities,middle east,saudi arabia,saudi arabia,2021-01-27,7983.45,unknown,sustainability,"leighton asia announced a workforce development in saudi arabia, saudi arabia, targeting residential to expand globally."
str-20101,fluor,partnership,energy,asia-pacific,japan,japan,2021-11-03,7983.45,unknown,growth,"fluor announced a partnership in japan, japan, targeting commercial to capture market share."
str-20102,obayashi corporation,merger,residential,latin america,brazil,minas gerais,2023-04-01,3991.75,bechtel,market leadership,"obayashi corporation announced a merger in minas gerais, brazil, targeting energy to leverage digital tools."
str-20103,mortenson construction,workforce development,residential,north america,usa,washington,2021-07-09,7983.45,unknown,sustainability,"mortenson construction announced a workforce development in washington, usa, targeting education to leverage digital tools."
str-20104,laing o’rourke,technology adoption,energy,africa,egypt,egypt,2022-08-01,3212.76,unknown,sustainability,"laing o’rourke announced a technology adoption in egypt, egypt, targeting infrastructure to capture market share."
str-20105,samsung c&t,market expansion,commercial,latin america,colombia,colombia,2024-05-21,1030.22,unknown,sustainability,"samsung c&t announced a market expansion in colombia, colombia, targeting transportation to leverage digital tools."
str-20106,bouygues,cost optimization,industrial,asia-pacific,australia,queensland,2023-06-19,7983.45,unknown,growth,"bouygues announced a cost optimization in queensland, australia, targeting infrastructure to improve resilience."
str-20107,snc-lavalin,risk management,education,asia-pacific,china,guangdong,2023-09-06,7983.45,unknown,sustainability,"snc-lavalin announced a risk management in guangdong, china, targeting infrastructure to drive sustainability."
str-20108,obayashi corporation,merger,industrial,europe,netherlands,netherlands,2022-07-24,14129.35,acciona,sustainability,"obayashi corporation announced a merger in netherlands, netherlands, targeting utilities to enhance capabilities."
str-20109,mortenson construction,partnership,commercial,north america,usa,new york,2025-05-20,7983.45,unknown,sustainability,"mortenson construction announced a partnership in new york, usa, targeting utilities to drive sustainability."
str-20110,shimizu corporation,partnership,transportation,europe,italy,italy,2020-10-07,7983.45,unknown,sustainability,"shimizu corporation announced a partnership in italy, italy, targeting industrial to capture market share."
str-20111,bechtel,sustainability initiative,utilities,north america,usa,texas,2021-07-27,7983.45,unknown,growth,"bechtel announced a sustainability initiative in texas, usa, targeting utilities to capture market share."
str-20112,obayashi corporation,sustainability initiative,residential,africa,morocco,morocco,2024-07-12,7983.45,unknown,growth,"obayashi corporation announced a sustainability initiative in morocco, morocco, targeting infrastructure to expand globally."
str-20113,skanska,cost optimization,utilities,asia-pacific,china,shanghai,2024-02-16,7983.45,unknown,growth,"skanska announced a cost optimization in shanghai, china, targeting commercial to expand globally."
str-20114,pcl construction,technology adoption,utilities,north america,usa,texas,2023-05-26,3911.43,unknown,sustainability,"pcl construction announced a technology adoption in texas, usa, targeting education to drive sustainability."
str-20115,bouygues,workforce development,healthcare,latin america,chile,chile,2024-08-25,7983.45,unknown,growth,"bouygues announced a workforce development in chile, chile, targeting residential to enhance capabilities."
str-20116,mccarthy,acquisition,transportation,asia-pacific,singapore,singapore,2023-04-17,4789.78,fluor,sustainability,"mccarthy announced a acquisition in singapore, singapore, targeting residential to drive sustainability."
str-20117,leighton asia,acquisition,infrastructure,europe,sweden,sweden,2020-09-02,4004.48,obayashi corporation,sustainability,"leighton asia announced a acquisition in sweden, sweden, targeting education to enhance capabilities."
str-20118,hochtief,digital transformation,infrastructure,australia,australia,western australia,2023-12-09,7983.45,unknown,innovation,"hochtief announced a digital transformation in western australia, australia, targeting energy to drive sustainability."
str-20119,mortenson construction,market expansion,energy,asia-pacific,malaysia,malaysia,2022-04-03,10756.79,unknown,efficiency,"mortenson construction announced a market expansion in malaysia, malaysia, targeting commercial to enhance capabilities."
str-20120,bechtel,acquisition,utilities,asia-pacific,india,tamil nadu,2024-05-15,8466.9,ferrovial,sustainability,"bechtel announced a acquisition in tamil nadu, india, targeting infrastructure to enhance capabilities."
str-20121,samsung c&t,merger,residential,asia-pacific,indonesia,indonesia,2022-09-13,10739.29,jacobs,market leadership,"samsung c&t announced a merger in indonesia, indonesia, targeting commercial to drive sustainability."
str-20122,hochtief,market expansion,industrial,middle east,oman,oman,2021-04-18,439.88,unknown,growth,"hochtief announced a market expansion in oman, oman, targeting transportation to leverage digital tools."
str-20123,lendlease,partnership,transportation,europe,uk,northern ireland,2023-12-23,7983.45,unknown,innovation,"lendlease announced a partnership in northern ireland, uk, targeting industrial to drive sustainability."
str-20124,mace group,workforce development,education,australia,australia,queensland,2023-02-04,7983.45,unknown,sustainability,"mace group announced a workforce development in queensland, australia, targeting utilities to drive sustainability."
str-20125,lendlease,cost optimization,industrial,latin america,venezuela,venezuela,2023-06-10,7983.45,unknown,sustainability,"lendlease announced a cost optimization in venezuela, venezuela, targeting residential to drive sustainability."
str-20126,samsung c&t,acquisition,healthcare,asia-pacific,japan,japan,2024-06-25,5708.2,vinci,efficiency,"samsung c&t announced a acquisition in japan, japan, targeting utilities to leverage digital tools."
str-20127,larsen & toubro,partnership,energy,north america,mexico,mexico,2024-04-22,7983.45,unknown,growth,"larsen & toubro announced a partnership in mexico, mexico, targeting education to leverage digital tools."
str-20128,leighton asia,merger,healthcare,north america,canada,alberta,2024-08-26,544.45,balfour beatty,efficiency,"leighton asia announced a merger in alberta, canada, targeting utilities to enhance capabilities."
str-20129,kiewit,cost optimization,education,north america,usa,illinois,2021-10-31,7983.45,unknown,growth,"kiewit announced a cost optimization in illinois, usa, targeting utilities to enhance capabilities."
str-20130,salini impregilo,acquisition,utilities,australia,australia,victoria,2025-02-19,440.43,thiess,innovation,"salini impregilo announced a acquisition in victoria, australia, targeting infrastructure to capture market share."
str-20131,kiewit,merger,infrastructure,asia-pacific,singapore,singapore,2020-11-09,1782.4,mace group,growth,"kiewit announced a merger in singapore, singapore, targeting energy to expand globally."
